,0
LeoSayer,"Gerard Hugh ""Leo"" Sayer (born 21 May 1948) is an English-Australian singer-songwriter musician and entertainer whose singing career has spanned four decades. He is now an Australian citizen and resident.
Sayer launched his career in the United Kingdom in the early 1970s, and became a top singles and album act on both sides of the Atlantic in the 1970s. His first seven hit singles in the United Kin"
LesleyGore,"Lesley Sue Goldstein (May 2, 1946 – February 16, 2015), known professionally as Lesley Gore, was an American singer, songwriter, actress, and activist. At the age of 16 (in 1963) she recorded the pop hit ""It's My Party"" (a US number one), and followed it up with other hits including ""Judy's Turn to Cry"", ""She's a Fool"",  ""You Don't Own Me"", ""Maybe I Know"" and ""California Nights"".
Gore also worked "
Level42,"Level 42 are an English jazz-funk band formed on the Isle of Wight in 1979. They had a number of UK and worldwide hits during the 1980s and 1990s.
Their highest-charting single in the UK was ""Lessons in Love"", which reached number three on the UK Singles Chart, and number 12 on the US Billboard Hot 100 chart, upon its release in 1986. An earlier single, ""Something About You"", was their most succes"
LindaRonstadt,"The discography of Linda Ronstadt, an American rock, pop and country artist (who also recorded in other genres, such as light opera and traditional Mexican music), consists of 24 solo studio albums, one live album, numerous compilation albums, and 63 singles. After recording three albums with her folk rock band, The Stone Poneys, Ronstadt debuted on Capitol Records as a solo artist with 1969's Han"
LindseyBuckingham,"Lindsey Adams Buckingham (born October 3, 1949) is an American musician, singer, songwriter and producer, best known as lead guitarist and one of the vocalists of the music group Fleetwood Mac from 1975 to 1987 and 1997 to 2018. In addition to his tenure with Fleetwood Mac, Buckingham has released six solo albums and three live albums. As a member of Fleetwood Mac, he was inducted into the Rock an"
LionelRichie,"Lionel Brockman Richie Jr. (born June 20, 1949) is an American singer, songwriter, composer, multi-instrumentalist, record producer and actor. His recordings with the Commodores and in his solo career made him one of the most successful balladeers of the 1980s.
Beginning in 1968, Richie was a member of the funk and soul band the Commodores. The Commodores became established as a popular soul group"
LippsInc,"Lipps Inc. ( lip-sink) was an American disco and funk group from Minneapolis, Minnesota. The group was best known for the chart-topping 1980 worldwide hit single ""Funkytown"" which hit No. 1 in 28 different countries around the world and was certified as double-platinum in sales.The group originally consisted of lead vocalist Cynthia Johnson and a changing lineup of session musicians including guit"
LittleEva,"Eva Narcissus Boyd (June 29, 1943 – April 10, 2003), known by the stage name of Little Eva, was an American pop singer. Although some sources claim that her stage name was inspired by a character from the novel Uncle Tom's Cabin, she stated in an interview that she was named after her aunt, which prompted her family to call her ""Little Eva.""


== Biography ==
Boyd was born in Belhaven, North Carol"
LittleRichard,"Richard Wayne Penniman (December 5, 1932 – May 9, 2020), known as Little Richard, was an American musician, singer, and songwriter.  He was an influential figure in popular music and culture for seven decades. Nicknamed ""The Innovator, The Originator, and The Architect of Rock and Roll"", Richard's most celebrated work dates from the mid-1950s, when his charismatic showmanship and dynamic music, ch"
LittleRiverBand,"Little River Band (LRB) are a rock band originally formed in Melbourne, Australia, in March 1975. The band achieved commercial success in both Australia and the United States. They have sold more than 30 million records; six studio albums reached the top 10 on the Australian Kent Music Report albums chart including Diamantina Cocktail (April 1977) and First Under the Wire (July 1979), which both p"
Lobo,"Lobo (born 19 November 1973) is a Brazilian painter of Pop Art. He has already painted artworks for personalities such as Luciano Huck, Angélica, Sabrina Sato, and Michel Teló, among others. He has also participated in projects together with companies such as Heineken, Mercado Livre, and Viva Schin, among others.


== Biographical overview ==
Lobo was born on 19 November 1973. He has initiated his"
LogginsAndMessina,"Loggins and Messina is an American rock-pop duo consisting of Kenny Loggins and Jim Messina, who achieved their success in the early to mid-1970s. Among their well-known songs are ""Danny's Song"", ""House at Pooh Corner"", and ""Your Mama Don't Dance"". After selling more than 16 million records and becoming one of the leading musical duos of the 1970s, Loggins and Messina broke up in 1976. Although Me"
LondonBeat,"Londonbeat is a British-American dance-pop band who scored a number of pop and dance hits in the early 1990s. Band members are American Jimmy Helms (who also had a successful solo career and sang radio jingles for Radio Hallam and Hereward Radio in the UK); Jimmy Chambers (born 29 January 1946), from Trinidad, and Charles Pierre. Former members include multi-instrumentalist William Henshall (credi"
LosBravos,"Los Bravos were a Spanish beat group, formed in 1965 and based in Madrid. They are most well known for their debut single ""Black Is Black"" which reached No. 2 in the United Kingdom in July 1966 and No. 4 in the United States (the first Spanish group to do so), selling over a million records worldwide.


== Biography ==
The band was an amalgamation of two pop groups, Los Sonor from Madrid and The R"
LouisArmstrong,"Louis Daniel Armstrong (August 4, 1901 – July 6, 1971), nicknamed ""Satchmo"", ""Satch"", and ""Pops"", was an American trumpeter, composer, vocalist, and actor who was among the most influential figures in jazz. His career spanned five decades, from the 1920s to the 1960s, and different eras in the history of jazz. In 2017, he was inducted into the Rhythm & Blues Hall of Fame.
Armstrong was born and ra"
LouRawls,"Louis Allen Rawls (December 1, 1933 – January 6, 2006) was an American singer, songwriter, actor, voice actor, and record producer. Rawls released more than 60 albums, sold more than 40 million records, and had numerous charting singles, most notably his song ""You'll Never Find Another Love like Mine"". He worked as a film, television, and voice actor. He was also a three-time Grammy-winner, all fo"
LouReed,"Lewis Allan Reed (March 2, 1942 – October 27, 2013) was an American musician, singer, songwriter and poet. He was the guitarist, singer and principal songwriter for the rock band the Velvet Underground and had a solo career that spanned five decades. The Velvet Underground was not a commercial success during its existence, but became regarded as one of the most influential bands in the history of "
LoveAffair,"Hercules & Love Affair is a dance music project created by American DJ Andy Butler in 2004. Consisting of a rotating cast of performers and musicians, the band work within the genres of house music, disco, techno and nu-disco.
Originally based in New York City, now based in Ghent, Belgium, Hercules and Love Affair were founded following Butler's collaboration with Anohni to produce the song ""Blind"
Loverboy,"Loverboy was the debut album released by Canadian rock band Loverboy in 1980.


== Album cover ==
Barbara Astman was commissioned to create the album cover, and was sent a copy along with lyrics for the song ""Little Girl"". She created the cover by typing the lyrics from the song onto a self-portrait Polaroid as it developed.


== Critical reception ==
Allmusic gave the album a rave retrospective r"
LoveUnlimited,"Love Unlimited was a female vocal trio that provided backing vocals for American R&B/soul singer Barry White on his albums and concert tours. They also found success with their own recordings.


== Career ==
Formed in 1969, the group included Barry White's future wife, Glodean James, her sister, Linda James, and their cousin Diane Taylor (who died of cancer in Pomona, California on November 29, 19"
LovinSpoonful,"The Lovin' Spoonful is an American rock band which was popular during the mid-to late-1960s.  Founded in New York City in 1965 by lead-singer/songwriter John Sebastian and guitarist Zal Yanovsky, it is best known for a number of hits which include ""Summer in the City"", ""Do You Believe In Magic"", ""Did You Ever Have to Make Up Your Mind?"", and ""Daydream"".  The band was inducted into the Rock and Rol"
Lulu,"Lulu Kennedy-Cairns, OBE (born Marie McDonald McLaughlin Lawrie; 3 November 1948) is a Scottish singer, actress, television personality and businesswoman. She is noted for her powerful singing voice.She is internationally known, but especially by UK audiences in the 1960s. Later in her career she had hits internationally with ""To Sir with Love"" from the 1967 film of the same name and with the titl"
LutherIngram,"Luther Thomas Ingram (November 30, 1937 – March 19, 2007) was an American R&B and soul singer-songwriter.  His most successful record, ""(If Loving You Is Wrong) I Don't Want to Be Right"", reached no. 1 on the Billboard R&B chart and no. 3 on the Hot 100 in 1972.


== Life and career ==
Luther Thomas Ingram was born in Jackson, Tennessee on November 30, 1937. His family moved to Alton, Illinois in "
LynyrdSkynyrd,"Lynyrd Skynyrd is an American rock band formed in 1964 that was named after the group's mutual high school gym teacher Leonard Skinner.  The band has released many studio, live, and other albums, along with several singles and video discs.
The band has sold 28 million albums in the US since 1991 when Nielsen SoundScan started tracking sales, not including album sales for the band's first 17 years."
M,"Mathangi ""Maya"" Arulpragasam  (born 18 July 1975), known by her stage name M.I.A. (), is a British rapper, singer, songwriter, record producer, visual artist, and activist.  Combining elements of alternative, dance, electronic, hip hop, and world music, her early compositions relied heavily on the Roland MC-505 music sequencer and drum machine, whilst her later work marked an evolution in her soun"
Madness,"For the solo discography of Madness lead singer Suggs, see Suggs§Solo discography.The discography of Madness, a British pop/ska band, comprises twelve studio albums, nine compilation albums, two live albums, one soundtrack album, two extended plays, four box sets and thirty-seven singles.


== Albums ==


=== Studio albums ===


=== Live albums ===


=== Soundtrack albums ===


=== Compilation alb"
Madonna,"Madonna Louise Ciccone (; Italian: [tʃikˈkoːne]; born August 16, 1958) is an American singer-songwriter, actress, author, and record executive. Having been referred to as the ""Queen of Pop"" since the 1980s, she is regarded as one of the most impactful figures in popular culture. Madonna is noted for her continual reinvention and versatility in music production, songwriting, and visual presentation"
MainIngredient,"The Main Ingredient is an American soul and R&B group best known for their 1972 hit song ""Everybody Plays the Fool"".


== Early history ==
The group was formed in Harlem, New York City in 1964 as a trio called the Poets, composed of lead singer Donald McPherson, Luther Simmons, Jr., and Panama-born Tony Silvester. They made their first recordings for Leiber & Stoller's Red Bird label, but soon cha"
MajorHarris,"Major Harris III (February 9, 1947 – November 9, 2012) was an American R&B singer, associated with the Philadelphia soul sound and the Delfonics (early 1970s–1974). His biggest hit as a solo artist was the sultry 1975 single ""Love Won't Let Me Wait"".


== Life and career ==
Harris was born in Richmond, Virginia.  Early in his career, Harris sang with groups such as the Charmers, the Teenagers, the"
MamasAndPapas,"The Mamas and the Papas was an American folk rock vocal group which recorded and performed from 1965 to 1968. The group was a defining force in the music scene of the counterculture of the 1960s. The group was composed of John Phillips, Denny Doherty, Cass Elliot, and Michelle Phillips (born  Holly Gilliam). Their sound was based on vocal harmonies arranged by John Phillips, the songwriter, musici"
ManfredMann,"Manfred Mann (born Manfred Sepse Lubowitz, 21 October 1940 in Johannesburg, Transvaal, Union of South Africa) is a British keyboard player, guitarist, and vocalist, born in South Africa, who became best known as a founding member and eponym of the bands Manfred Mann, Manfred Mann Chapter Three and Manfred Mann's Earth Band.


== Early life and career ==
Lubowitz was raised in a Jewish family in Jo"
Manhattans,"The Manhattans are an American popular R&B vocal group. Their work includes million-selling songs ""Kiss and Say Goodbye"" recorded in 1976 and 1980's ""Shining Star"". The Manhattans have recorded 45 chart hits on the Billboard R&B Chart, including twelve top 10 R&B hits in the United States charting on the Billboard chart for the first time in 1965. Sixteen of which reached the Billboard Hot 100, in"
ManhattanTransfer,"The Manhattan Transfer is a Grammy award-winning jazz vocal group founded in 1969 that has explored a cappella, vocalese, swing, standards, Brazilian jazz, rhythm and blues, and pop music.
There have been two editions of the Manhattan Transfer, with Tim Hauser the only person to be part of both. The first group consisted of Hauser, Erin Dickins, Marty Nelson, Pat Rosalia, and Gene Pistilli. The se"
Marcels,"The Marcels was an American doo-wop group known for turning popular music songs into rock and roll. The group formed in 1959 in Pittsburgh, Pennsylvania and signed to Colpix Records with lead Cornelius Harp, bass Fred Johnson, Gene Bricker, Ron Mundy, and Richard Knauss. The group was named after a popular hair style of the day, the marcel wave, by Fred Johnson's younger sister Priscilla.


== Car"
MariaMuldaur,"Maria Muldaur (born September 12, 1943) is an American folk and blues singer who was part of the American folk music revival in the early 1960s. She recorded the 1973 hit song ""Midnight at the Oasis"" and continues to record albums in the folk traditions.She was the wife of musician Geoff Muldaur and is the mother of singer-songwriter Jenni Muldaur.


== Biography ==
Muldaur was born Maria Grazia R"
MarshallTucker,"The Marshall Tucker Band is an American rock band from Spartanburg, South Carolina. Noted for incorporating blues, country and jazz into its eclectic sound, The Marshall Tucker Band helped establish the Southern rock genre in the early 1970s.   While the band had reached the height of its commercial success by the end of the decade, it has recorded and performed continuously under various lineups "
MarthaReeves,"Martha Rose Reeves (born July 18, 1941) is an American R&B and pop singer and former politician, and is the lead singer of the Motown girl group Martha Reeves and the Vandellas. They scored over a dozen hit singles, including ""Come and Get These Memories"", ""Nowhere to Run"", ""Heat Wave"", ""Jimmy Mack"", and their signature ""Dancing In The Street"". From 2005 until 2009, Reeves served as an elected cou"
MarvinGaye,"American music artist Marvin Gaye released 25 studio albums, four live albums, one soundtrack album, 24 compilation albums, and 83 singles. In 1961 Gaye signed a recording contract with Tamla Records, owned by Motown. The first release under the label was The Soulful Moods of Marvin Gaye. Gaye's first album to chart was a duet album with Mary Wells titled Together, peaking at number forty-two on t"
MaryHopkins,"Mary Rice Hopkins is an American children's religious artist born september 6, 1956, who has written hundreds of songs for children and adults. She currently lives in Southern California.
Hopkins has been in the music ministry for over 30 years and has over twenty albums. She was influenced musically by her parents and brothers. Her brothers originated the country-gospel band Brush Arbor, which wo"
MaryWells,"Mary Esther Wells (May 13, 1943 – July 26, 1992) was an American singer, who helped to define the emerging sound of Motown in the early 1960s. Along with The Supremes, The Miracles, The Temptations, and the Four Tops, Wells was said to have been part of the charge in black music onto radio stations and record shelves of mainstream America, ""bridging the color lines in music at the time.""With a str"
MasonWillams,"This is a list of episodes for Perry Mason, an American legal drama series that aired on CBS television for nine seasons (September 21, 1957 – May 22, 1966). The title character, portrayed by Raymond Burr, is a fictional Los Angeles criminal defense lawyer who originally appeared in detective fiction by Erle Stanley Gardner. Many episodes are based on novels and short stories written by Gardner, w"
McFaddenAndWhitehead,"McFadden and Whitehead were an American R&B duo, best known for their signature tune ""Ain't No Stoppin' Us Now"". They wrote and produced some of the most popular R&B hits of the 1970s, and were primarily associated with the Gamble and Huff record label, Philadelphia International Records.


== Early career ==
When they were teenagers, Gene McFadden and John Whitehead formed a group called The Epsi"
MeatLoaf,"Michael Lee Aday (born Marvin Lee Aday, September 27, 1947), known professionally as Meat Loaf, is an American singer and actor. He is noted for his powerful, wide-ranging voice and for his theatrical live shows.
Meat Loaf's Bat Out of Hell trilogy of albums—Bat Out of Hell, Bat Out of Hell II: Back into Hell, and Bat Out of Hell III: The Monster Is Loose—has sold more than 50 million albums world"
Meco,"Meco (real name Domenico Monardo; born November 29, 1939) is an American record producer and musician, as well as the name of his band or production team. Meco is best known for his 1977 space disco version of the Star Wars theme from his album Star Wars and Other Galactic Funk; both the single and album were certified platinum in the U.S.


== Biography ==
Meco Monardo was born in Johnsonburg, Pe"
MelissaManchester,"Melissa Manchester (born February 15, 1951) is an American singer-songwriter and actress. Since the 1970s, her songs have been carried by adult contemporary radio stations. She has also appeared on television, in films, and on stage.


== Life and career ==
Manchester was born in the Bronx, a borough of New York City, to a musical family. Her father was a bassoonist for the New York Metropolitan O"
MenAtWork,"Men at Work are an Australian rock band formed in 1979 and best known for hits such as ""Who Can It Be Now?"" and ""Down Under"". Its founding member was Colin Hay on lead vocals and guitar. After playing as an acoustic duo with Ron Strykert during 1978–79, he formed the group with Strykert playing bass guitar, and Jerry Speiser on drums. They were soon joined by Greg Ham on flute, saxophone, and keyb"
Metallica,"Metallica is an American heavy metal band. The band was formed in 1981 in Los Angeles by vocalist/guitarist James Hetfield and drummer Lars Ulrich, and has been based in San Francisco for most of its career. The band's fast tempos, instrumentals and aggressive musicianship made them one of the founding ""big four"" bands of thrash metal, alongside Megadeth, Anthrax and Slayer. Metallica's current li"
MFSB,"MFSB, officially standing for ""Mother Father Sister Brother"", was a pool of more than 30 studio musicians based at Philadelphia’s Sigma Sound Studios. They worked closely with the production team of Gamble and Huff and producer/arranger Thom Bell, and backed up such groups as Harold Melvin & the Blue Notes, the O’Jays, the Stylistics, the Spinners, Wilson Pickett, and Billy Paul.In 1972, MFSB bega"
MiamiSoundMachine,"Miami Sound Machine is an American band of Latin-influenced music that had featured the vocals of Cuban-born recording artist Gloria Estefan (née Fajardo). Established in 1975 by Emilio Estefan Jr., the band was originally known as the Miami Latin Boys before becoming the Miami Sound Machine in 1977.
The band had a number of albums and a string of hit singles until 1989. The band's 1985 album Prim"
MichaelJackson,"Michael Joseph Jackson (August 29, 1958 – June 25, 2009) was an American singer, songwriter, and dancer. Dubbed the ""King of Pop"", he is regarded as one of the most significant cultural figures of the 20th century and one of the greatest entertainers in the history of music. Through stage and video performances, he popularized complicated dance techniques such as the moonwalk, to which he gave the"
MichaelJohnson,"Michael Julian Johnson (born June 4, 1986) is an American professional mixed martial artist, who competes in the Lightweight division of the Ultimate Fighting Championship (UFC). A professional MMA competitor since 2008, Johnson mostly competed in his regional circuit, before signing onto the Ultimate Fighting Championship to appear on The Ultimate Fighter: Team GSP vs. Team Koscheck, in which he "
MichaelMcDonald,"Michael McDonald (born February 12, 1952) is an American singer-songwriter, keyboardist, and record producer known for his distinctive, soulful voice and as a member of the bands The Doobie Brothers (1975-1982, 1987, 2019-present) and Steely Dan (1974). McDonald wrote and sang several hit singles with The Doobie Brothers, including ""What a Fool Believes"", ""Minute By Minute"", and ""Takin' It to the "
MichaelMurphy,"Anita Lorraine Cobby (née Lynch) (2 November 1959 – 2 February 1986) was a 26-year-old Australian registered nurse and beauty pageant winner who was kidnapped while walking home from Blacktown railway station after dining out with two Sydney Hospital colleagues in Surry Hills, New South Wales, just before 10:00 p.m. on 2 February 1986, and subsequently sexually assaulted and murdered. Two days aft"
MichaelSembello,"Michael Andrew Sembello (born April 17, 1954) is an American singer, guitarist, keyboardist, songwriter, composer and producer from Philadelphia, Pennsylvania.
Sembello was nominated for an Academy Award and a Golden Globe for his 1983 song ""Maniac"", which he sang and co-wrote. The song reached number one in the United States and featured in the Flashdance movie soundtrack.
He is the brother of th"
MichaelWSmith,"Michael Whitaker Smith (born October 7, 1957) is an American musician, who has charted in both contemporary Christian and mainstream charts. His biggest success in mainstream music was in 1991 when ""Place in This World"" hit No. 6 on the Billboard Hot 100. Over the course of his career, he has sold more than 18 million albums.Smith is a three-time Grammy Award winner, an American Music Award recipi"
MichaelZager,"Michael Zager (born January 3, 1943, in Passaic, New Jersey) is an American record producer, composer, and arranger of original music for commercials, albums, network television, and theme music for films. He teaches music at Florida Atlantic University.
Zager was a member of jazz rock band Ten Wheel Drive from 1968–1973.


== Music career ==
Zager has produced Grammy Award winning artists: Whitne"
MickeyAndSylvia,"Mickey & Sylvia was an American R&B duo composed of Mickey Baker and Sylvia Vanterpool, who later became Sylvia Robinson. They are best known for their number-one R&B single ""Love Is Strange"" in 1957. 
Baker and Vanterpool began recording together in 1954. They first recorded as Mickey & Sylvia in 1955 on Rainbow Records before signing to Groove Records where they became the first big seller for t"
MidnightOil,"Midnight Oil (known informally as ""The Oils"") are an Australian rock band composed of Peter Garrett (vocals, harmonica), Rob Hirst (drums), Jim Moginie (guitar, keyboard), Martin Rotsey (guitar) and Bones Hillman (bass guitar). The group was formed in Sydney in 1972 by Hirst, Moginie and original bassist Andrew James as Farm: they enlisted Garrett the following year, changed their name in 1976, an"
MikeReno,"Mike Reno (born Joseph Michael Rynoski; January 8, 1955) is a Canadian musician, singer and the lead singer of the rock band Loverboy. He is reported to have taught himself how to play guitar. He fronted other bands, including Moxy, before helping form Loverboy. Reno also sang for the Canadian band Hammersmith in 1976.


== Life and career ==
While still in school in the early 1970s, Reno joined a"
MinnieRipperton,"Minnie Julia Riperton Rudolph (November 8, 1947 – July 12, 1979) was an American singer-songwriter best known for her 1975 single ""Lovin' You"" and her five-octave coloratura soprano range. She is also widely known for her use of the whistle register and has been referred to by the media as the ""Queen of the whistle register"". 
Born in 1947, Riperton grew up in Chicago's Bronzeville neighborhood on"
Mocedades,"""Eres tú"" (Spanish pronunciation: [ˈeɾes ˈtu], ""It's You"") is a popular Spanish language song written in 1973 by Juan Carlos Calderón and performed by the Spanish band Mocedades, with Amaya Uranga performing the lead vocal.
It was chosen as Spain's entry in the 1973 Eurovision Song Contest. After reaching  second place in the contest, it was released as a single.
This song also has an English vers"
Moffats,"Steven William Moffat  (; born 18 November 1961) is a Scottish television writer and producer. He is best known for his work as showrunner, writer, and executive producer of two BBC One series: the science fiction television series Doctor Who and the contemporary crime drama television series Sherlock, based on Sir Arthur Conan Doyle's Sherlock Holmes stories. In 2015, Moffat was appointed Officer"
MorrisAlbert,"Albert Morris (13 August 1886 in Bridgetown, South Australia – 9 January 1939, Broken Hill, New South Wales), was a highly acclaimed amateur Australian botanist, landscaper, ecologist, conservationist and pioneer developer of the re-vegetation technique natural regeneration, who also utilised restoration principles that are today known as ecological restoration. 


== Early life ==
Albert was born"
MottTheHoople,"Mott the Hoople are  an English rock band, popular in the glam rock era of the early to mid-1970s. They are best known for the song ""All the Young Dudes"", written for them by David Bowie and appearing on their 1972 album of the same name.


== History ==


=== Early years ===
Mott the Hoople were formed in 1966 as the Doc Thomas Group with Mick Ralphs on guitar, Stan Tippins on vocals, and Pete Ov"
MouthAndMcNeal,"Mouth & MacNeal was a Dutch pop duo that enjoyed some commercial success in the 1970s. They are best known for their million selling recording of ""How Do You Do"" in 1972, which topped the Dutch chart and became a US top ten hit, also reaching number 2 in Canada, and for representing the Netherlands at the 1974 Eurovision Song Contest, finishing third with the song ""I See a Star"", which went on to "
MrMister,"Mr. Mister was an American rock band from Phoenix, Arizona, active from 1982 until 1990. The band consisted of Richard Page on lead vocals and bass guitar, Steve George on keyboards/backing vocals, Pat Mastelotto on acoustic and electronic drums/percussion and Steve Farris on guitars/backing vocals. Mr. Mister was the successor to the band Pages, fronted by Page and George from 1978 to 1981.


== "
MungoJerry,"Mungo Jerry are a British rock group who experienced their greatest success in the early 1970s, with a changing line-up that has always been fronted by Ray Dorset. The group's name was inspired by the poem ""Mungojerrie and Rumpleteazer"", from T. S. Eliot's Old Possum's Book of Practical Cats. The group's biggest hit was ""In the Summertime"". They had nine charting singles in the UK, including two n"
MurrayHead,"Murray Seafield St George Head (born 5 March 1946) is an English actor and singer. Head has appeared in a number of films, including the role of Bob Elkin in the Oscar-nominated 1971 film Sunday Bloody Sunday. As a musician, he is most recognised for his international hit songs ""Superstar"" (from the 1970 rock opera Jesus Christ Superstar) and ""One Night in Bangkok"" (the 1984 single from the musica"
MurrayHeart,"Elizabeth Murray (September 6, 1940 – August 12, 2007) was an American painter, printmaker and draughtsman. Her works are in many major public collections, including those of the Solomon R. Guggenheim Museum, the Hirshhorn Museum and Sculpture Garden, the Museum of Modern Art, the Whitney Museum of American Art, the San Francisco Museum of Modern Art, the Art Institute of Chicago, the Carnegie Mus"
NakedEyes,"""Promises, Promises"" was the second hit single for the British new wave group Naked Eyes in 1983. The song went on to become a top-20 hit in the US that October, peaking at number 11 on the Billboard Hot 100 singles chart. It was their follow up to their earlier hit ""Always Something There to Remind Me"" by Burt Bacharach and Hal David, which was a top-ten hit in the U.S. in mid-1983. (Although Bac"
NancySinatra,"Nancy Sandra Sinatra (born June 8, 1940) is an American singer and actress. She is the elder daughter of Frank Sinatra and Nancy (née Barbato) Sinatra, and is widely known for her 1965 signature hit ""These Boots Are Made for Walkin'"".
Other defining recordings include ""Sugar Town"", the 1967 number one ""Somethin' Stupid"" (a duet with her father), the title song from the James Bond film You Only Liv"
NatalieCole,"Natalie Maria Cole (February 6, 1950 – December 31, 2015) was an American singer, songwriter, and actress. Cole was the daughter of American singer and jazz pianist Nat King Cole. She rose to success in the mid-1970s as an R&B singer with the hits ""This Will Be"", ""Inseparable"" (1975), and ""Our Love"" (1977). She returned as a pop singer on the 1987 album Everlasting and her cover of Bruce Springste"
NatalieMerchant,"Natalie Anne Merchant (born October 26, 1963) is an American alternative rock singer-songwriter. She joined the folk rock band 10,000 Maniacs in 1981, and was lead vocalist and primary lyricist for the group. She remained with the group for their first seven albums and left it to begin her solo career in 1993. She has since released seven studio albums.


== Early life ==
Natalie Merchant was born"
Nazareth,"Nazareth are a Scottish hard rock band formed in 1968 that had several hits in the United Kingdom, as well as in several other West European countries in the early 1970s. They established an international audience with their 1975 album Hair of the Dog, which featured their hits ""Hair of the Dog"" and a cover of the ballad ""Love Hurts"". The band continues to record and tour.


== Career ==

Nazareth"
NeilDiamond,"Neil Leslie Diamond (born January 24, 1941) is an American singer-songwriter and actor. He has sold more than 100 million records worldwide, making him one of the best-selling musicians of all time. He has had ten No. 1 singles on the Hot 100 and Adult Contemporary charts: ""Cracklin' Rosie"", ""Song Sung Blue"", ""Longfellow Serenade"", ""I've Been This Way Before"", ""If You Know What I Mean"", ""Desirée"","
NeilSedaka,"Neil Sedaka (born March 13, 1939) is an American pop singer, pianist, composer and record producer. Since his music career began in 1957 as a short-lived founding member of the Tokens, he has sold millions of records as an artist and has written or co-written over 500 songs for himself and others, collaborating mostly with lyricists Howard Greenfield and Phil Cody.


== Early life: Juilliard and t"
NeilYoung,"Neil Percival Young  (born November 12, 1945) is a Canadian-American singer-songwriter and activist. After embarking on a music career in the 1960s, he moved to Los Angeles, joining Buffalo Springfield with Stephen Stills, Richie Furay and others. Since his early solo albums and those with his backing band Crazy Horse, Young has been prolific, recording a steady stream of studio and live albums.
Y"
NewKidsOnTheBlock,"New Kids on the Block (also initialized as NKOTB) is an American boy band from Dorchester, Massachusetts, United States. The band consists of brothers Jonathan and Jordan Knight, Joey McIntyre, Donnie Wahlberg, and Danny Wood. New Kids on the Block enjoyed success in the late 1980s and early 1990s and have sold more than 70 million records worldwide. They won two American Music Awards in 1990 for "
NewOrder,"New Order are  an English rock band formed in 1980 by vocalist and guitarist Bernard Sumner, bassist Peter Hook, and drummer Stephen Morris. The band formed after the demise of Joy Division, following the suicide of lead singer Ian Curtis; they were joined by Gillian Gilbert on keyboards later that year. New Order's integration of post-punk with electronic and dance music made them one of the most"
NewSeekers,"The New Seekers are an English pop group, formed in London in 1969 by Keith Potger after the break-up of his group, The Seekers. The idea was that the New Seekers would appeal to the same market as the original Seekers, but their music would have pop as well as folk influences. They achieved worldwide success in the early 1970s with hits including ""I'd Like to Teach the World to Sing"", ""You Won't "
NewVaudevilleBand,"The New Vaudeville Band was a group created by songwriter Geoff Stephens in 1966 to record his novelty composition ""Winchester Cathedral"", a song inspired by the dance bands of the 1920s and a Rudy Vallee megaphone-style vocal.  To his surprise, the song became a transatlantic hit that autumn, reaching the Top 10 in the United Kingdom and rising to #1 in the United States. Initially a studio group"
NickGilger,"This is a general list of musicals, including Broadway musicals, West End musicals, and musicals that premeried in other places, as well as film musicals, whose titles fall into the M-Z alphabetic range. (See also List of notable musical theatre productions, List of operettas, List of Bollywood films, List of rock musicals.)
See List of musicals: A to L for additional titles.  Please list the name"
NightRanger,"Night Ranger is an American rock band from San Francisco formed in 1979 that gained popularity during the 1980s with a series of albums and singles. The band's first five albums sold more than 10 million copies worldwide and have sold 17 million albums total. The quintet is best known for the power ballad ""Sister Christian"", which peaked at No. 5 in June 1984.After their success waned in the late "
Nina,"Marifil Niña Girado-Enriquez (born November 1, 1980), known professionally as Nina, is a Filipina singer, occasional songwriter, record producer, TV and radio personality. She made her recording debut in 2002 after signing a recording contract with Warner Music Philippines. Following the release of her debut album, she received numerous awards from different organizations and multiple album certif"
Nirvana,"Nirvana is a ""best-of"" compilation album by the American rock band Nirvana, released in October, 2002. It was the third Nirvana album to be released following the death of vocalist and guitarist Kurt Cobain in April 1994, and the first to feature studio material. It is also the band's first best-of compilation. 
The compilation features the previously-unreleased ""You Know You're Right"", a song rec"
NormanGreenbaum,"Norman Joel Greenbaum (born November 20, 1942) is an American singer-songwriter. He is best known for writing and performing the 1969 song ""Spirit in the Sky"".


== Early life ==
Greenbaum was born in Malden, Massachusetts. He was raised in an Orthodox Jewish household and attended Hebrew school at Congregation Beth Israel. His initial interest in music was sparked by southern blues music and the "
Ocean,"Frank Ocean (born October 28, 1987) is an American singer-songwriter, record producer and photographer. Recognized for his idiosyncratic musical style, introspective and elliptical songwriting, unconventional production techniques, and wide vocal range, Ocean is among the most acclaimed artists of his generation. Music critics have credited him with revitalizing jazz and funk influenced R&B, as we"
OhioExpress,"The Ohio Express is an American bubblegum pop band, formed in Mansfield, Ohio, United States, in 1967.Though marketed as a band, it would be more accurate to say that the name ""Ohio Express"" served as a brand name used by Jerry Kasenetz's and Jeffry Katz's Super K Productions to release the music of a number of different musicians and acts. The best known songs of Ohio Express (including their bes"
OhioPlayers,"Ohio Players were an American funk band, most popular in the 1970s. They are best known for their songs ""Fire"" and ""Love Rollercoaster""; as well as for their erotic album covers that featured nude or nearly nude women. Many of the women were models featured in Playboy.
The singles ""Funky Worm"", ""Skin Tight"", ""Fire"", and ""Love Rollercoaster""; as well as their albums Skin Tight, Fire, and Honey, wer"
